Scaffold	Scaffold_Size	Chr	Start	End
scaffold_166	197184	chrUn	34789386	34986569
scaffold_167	154914	chrUn	34987570	35142483
scaffold_168	154478	chrUn	35143484	35297961
scaffold_169	154270	chrUn	35298962	35453231
scaffold_171	186377	chrUn	35454232	35640608
scaffold_172	174539	chrUn	35641609	35816147
scaffold_173	209803	chrUn	35817148	36026950
scaffold_175	171423	chrUn	36027951	36199373
scaffold_176	142540	chrUn	36200374	36342913
scaffold_177	148997	chrUn	36343914	36492910
scaffold_178	135123	chrUn	36493911	36629033
scaffold_179	156101	chrUn	36630034	36786134
scaffold_180	137802	chrUn	36787135	36924936
scaffold_181	135462	chrUn	36925937	37061398
scaffold_182	134511	chrUn	37062399	37196909
scaffold_184	147696	chrUn	37197910	37345605
scaffold_185	151417	chrUn	37346606	37498022
scaffold_186	138358	chrUn	37499023	37637380
scaffold_187	115114	chrUn	37638381	37753494
scaffold_188	121219	chrUn	37754495	37875713
scaffold_192	135576	chrUn	37876714	38012289
scaffold_193	101050	chrUn	38013290	38114339
scaffold_194	117285	chrUn	38115340	38232624
scaffold_195	147321	chrUn	38233625	38380945
scaffold_196	98627	chrUn	38381946	38480572
scaffold_197	115429	chrUn	38481573	38597001
scaffold_198	108707	chrUn	38598002	38706708
scaffold_199	97953	chrUn	38707709	38805661
scaffold_200	101275	chrUn	38806662	38907936
scaffold_201	142603	chrUn	38908937	39051539
scaffold_202	109749	chrUn	39052540	39162288
scaffold_203	108077	chrUn	39163289	39271365
scaffold_204	91466	chrUn	39272366	39363831
scaffold_205	126450	chrUn	39364832	39491281
scaffold_206	99559	chrUn	39492282	39591840
scaffold_207	117296	chrUn	39592841	39710136
scaffold_208	109349	chrUn	39711137	39820485
scaffold_209	88137	chrUn	39821486	39909622
scaffold_210	83983	chrUn	39910623	39994605
scaffold_211	81692	chrUn	39995606	40077297
scaffold_212	85982	chrUn	40078298	40164279
scaffold_213	85398	chrUn	40165280	40250677
scaffold_214	87744	chrUn	40251678	40339421
scaffold_215	94574	chrUn	40340422	40434995
scaffold_216	94716	chrUn	40435996	40530711
scaffold_217	81313	chrUn	40531712	40613024
scaffold_218	89394	chrUn	40614025	40703418
scaffold_219	79250	chrUn	40704419	40783668
scaffold_220	120098	chrUn	40784669	40904766
scaffold_221	73960	chrUn	40905767	40979726
scaffold_223	80968	chrUn	40980727	41061694
scaffold_224	208153	chrUn	41062695	41270847
scaffold_225	91144	chrUn	41271848	41362991
scaffold_226	125417	chrUn	41363992	41489408
scaffold_227	99763	chrUn	41490409	41590171
scaffold_228	67660	chrUn	41591172	41658831
scaffold_229	65252	chrUn	41659832	41725083
scaffold_230	67493	chrUn	41726084	41793576
scaffold_231	71955	chrUn	41794577	41866531
scaffold_232	172204	chrUn	41867532	42039735
scaffold_233	73492	chrUn	42040736	42114227
scaffold_234	70511	chrUn	42115228	42185738
scaffold_235	63932	chrUn	42186739	42250670
scaffold_236	63210	chrUn	42251671	42314880
scaffold_237	67728	chrUn	42315881	42383608
scaffold_238	62242	chrUn	42384609	42446850
scaffold_239	61439	chrUn	42447851	42509289
scaffold_240	66213	chrUn	42510290	42576502
scaffold_241	60165	chrUn	42577503	42637667
scaffold_242	95411	chrUn	42638668	42734078
scaffold_243	77364	chrUn	42735079	42812442
scaffold_244	102481	chrUn	42813443	42915923
scaffold_245	61692	chrUn	42916924	42978615
scaffold_246	58348	chrUn	42979616	43037963
scaffold_247	54341	chrUn	43038964	43093304
scaffold_248	55145	chrUn	43094305	43149449
scaffold_249	58497	chrUn	43150450	43208946
scaffold_250	72636	chrUn	43209947	43282582
scaffold_251	52946	chrUn	43283583	43336528
scaffold_252	50941	chrUn	43337529	43388469
scaffold_253	65189	chrUn	43389470	43454658
scaffold_254	93935	chrUn	43455659	43549593
scaffold_255	70686	chrUn	43550594	43621279
scaffold_256	57748	chrUn	43622280	43680027
scaffold_258	60309	chrUn	43681028	43741336
scaffold_259	93105	chrUn	43742337	43835441
scaffold_260	56380	chrUn	43836442	43892821
scaffold_261	54348	chrUn	43893822	43948169
scaffold_262	53843	chrUn	43949170	44003012
scaffold_263	54881	chrUn	44004013	44058893
scaffold_264	76560	chrUn	44059894	44136453
scaffold_265	71712	chrUn	44137454	44209165
scaffold_266	56501	chrUn	44210166	44266666
scaffold_267	57760	chrUn	44267667	44325426
scaffold_268	59728	chrUn	44326427	44386154
scaffold_269	44336	chrUn	44387155	44431490
scaffold_270	42730	chrUn	44432491	44475220
scaffold_271	71937	chrUn	44476221	44548157
scaffold_272	56244	chrUn	44549158	44605401
scaffold_273	42095	chrUn	44606402	44648496
scaffold_274	43351	chrUn	44649497	44692847
scaffold_275	42085	chrUn	44693848	44735932
scaffold_276	41570	chrUn	44736933	44778502
scaffold_277	40892	chrUn	44779503	44820394
scaffold_278	69444	chrUn	44821395	44890838
scaffold_279	40273	chrUn	44891839	44932111
scaffold_280	60509	chrUn	44933112	44993620
scaffold_281	69191	chrUn	44994621	45063811
scaffold_282	39885	chrUn	45064812	45104696
scaffold_283	56026	chrUn	45105697	45161722
scaffold_284	40099	chrUn	45162723	45202821
scaffold_285	40908	chrUn	45203822	45244729
scaffold_286	39589	chrUn	45245730	45285318
scaffold_287	62246	chrUn	45286319	45348564
scaffold_288	39180	chrUn	45349565	45388744
scaffold_289	57014	chrUn	45389745	45446758
scaffold_290	63144	chrUn	45447759	45510902
scaffold_291	38662	chrUn	45511903	45550564
scaffold_292	38306	chrUn	45551565	45589870
scaffold_293	51155	chrUn	45590871	45642025
scaffold_294	53528	chrUn	45643026	45696553
scaffold_295	37679	chrUn	45697554	45735232
scaffold_296	58761	chrUn	45736233	45794993
scaffold_297	36171	chrUn	45795994	45832164
scaffold_298	35853	chrUn	45833165	45869017
scaffold_299	35542	chrUn	45870018	45905559
scaffold_300	53692	chrUn	45906560	45960251
scaffold_301	66799	chrUn	45961252	46028050
scaffold_302	38490	chrUn	46029051	46067540
scaffold_303	34546	chrUn	46068541	46103086
scaffold_304	34754	chrUn	46104087	46138840
scaffold_305	34664	chrUn	46139841	46174504
scaffold_306	55522	chrUn	46175505	46231026
scaffold_307	34685	chrUn	46232027	46266711
scaffold_308	58451	chrUn	46267712	46326162
scaffold_309	34599	chrUn	46327163	46361761
scaffold_310	36267	chrUn	46362762	46399028
scaffold_311	60562	chrUn	46400029	46460590
scaffold_312	51899	chrUn	46461591	46513489
scaffold_313	53016	chrUn	46514490	46567505
scaffold_314	34784	chrUn	46568506	46603289
scaffold_315	33261	chrUn	46604290	46637550
scaffold_316	32203	chrUn	46638551	46670753
scaffold_317	53197	chrUn	46671754	46724950
scaffold_318	63963	chrUn	46725951	46789913
scaffold_319	51614	chrUn	46790914	46842527
scaffold_320	31880	chrUn	46843528	46875407
scaffold_321	95125	chrUn	46876408	46971532
scaffold_322	32878	chrUn	46972533	47005410
scaffold_323	53451	chrUn	47006411	47059861
scaffold_324	30803	chrUn	47060862	47091664
scaffold_325	30374	chrUn	47092665	47123038
scaffold_326	53463	chrUn	47124039	47177501
scaffold_327	30177	chrUn	47178502	47208678
scaffold_328	59670	chrUn	47209679	47269348
scaffold_329	29990	chrUn	47270349	47300338
scaffold_330	29714	chrUn	47301339	47331052
scaffold_331	29586	chrUn	47332053	47361638
scaffold_332	31115	chrUn	47362639	47393753
scaffold_333	29520	chrUn	47394754	47424273
scaffold_334	56813	chrUn	47425274	47482086
scaffold_335	48937	chrUn	47483087	47532023
scaffold_336	47011	chrUn	47533024	47580034
scaffold_337	29134	chrUn	47581035	47610168
scaffold_338	50973	chrUn	47611169	47662141
scaffold_339	59037	chrUn	47663142	47722178
scaffold_340	27926	chrUn	47723179	47751104
scaffold_341	50959	chrUn	47752105	47803063
scaffold_342	62103	chrUn	47804064	47866166
scaffold_343	28365	chrUn	47867167	47895531
scaffold_344	32090	chrUn	47896532	47928621
scaffold_345	28473	chrUn	47929622	47958094
scaffold_346	26773	chrUn	47959095	47985867
scaffold_347	26490	chrUn	47986868	48013357
scaffold_348	54896	chrUn	48014358	48069253
scaffold_349	26614	chrUn	48070254	48096867
scaffold_350	58727	chrUn	48097868	48156594
scaffold_351	26532	chrUn	48157595	48184126
scaffold_352	51043	chrUn	48185127	48236169
scaffold_353	28864	chrUn	48237170	48266033
scaffold_354	25468	chrUn	48267034	48292501
scaffold_355	25117	chrUn	48293502	48318618
scaffold_356	45946	chrUn	48319619	48365564
scaffold_357	25007	chrUn	48366565	48391571
scaffold_358	25373	chrUn	48392572	48417944
scaffold_359	24683	chrUn	48418945	48443627
scaffold_360	48964	chrUn	48444628	48493591
scaffold_361	24471	chrUn	48494592	48519062
scaffold_362	24363	chrUn	48520063	48544425
scaffold_363	24258	chrUn	48545426	48569683
scaffold_364	24173	chrUn	48570684	48594856
scaffold_365	24246	chrUn	48595857	48620102
scaffold_366	24037	chrUn	48621103	48645139
scaffold_367	23996	chrUn	48646140	48670135
scaffold_368	43734	chrUn	48671136	48714869
scaffold_369	24183	chrUn	48715870	48740052
scaffold_370	23659	chrUn	48741053	48764711
scaffold_371	24210	chrUn	48765712	48789921
scaffold_372	23965	chrUn	48790922	48814886
scaffold_373	23462	chrUn	48815887	48839348
scaffold_374	23207	chrUn	48840349	48863555
scaffold_375	23192	chrUn	48864556	48887747
scaffold_376	23904	chrUn	48888748	48912651
scaffold_377	26092	chrUn	48913652	48939743
scaffold_378	24000	chrUn	48940744	48964743
scaffold_379	23572	chrUn	48965744	48989315
scaffold_380	23511	chrUn	48990316	49013826
scaffold_381	22882	chrUn	49014827	49037708
scaffold_382	25154	chrUn	49038709	49063862
scaffold_383	23201	chrUn	49064863	49088063
scaffold_384	22615	chrUn	49089064	49111678
scaffold_385	22640	chrUn	49112679	49135318
scaffold_386	22463	chrUn	49136319	49158781
scaffold_387	47752	chrUn	49159782	49207533
scaffold_388	22715	chrUn	49208534	49231248
scaffold_389	22600	chrUn	49232249	49254848
scaffold_390	21969	chrUn	49255849	49277817
scaffold_391	21714	chrUn	49278818	49300531
scaffold_392	21752	chrUn	49301532	49323283
scaffold_393	21641	chrUn	49324284	49345924
scaffold_394	25577	chrUn	49346925	49372501
scaffold_395	21597	chrUn	49373502	49395098
scaffold_396	22001	chrUn	49396099	49418099
scaffold_397	21478	chrUn	49419100	49440577
scaffold_398	25355	chrUn	49441578	49466932
scaffold_399	21251	chrUn	49467933	49489183
scaffold_400	21375	chrUn	49490184	49511558
scaffold_401	23549	chrUn	49512559	49536107
scaffold_402	21020	chrUn	49537108	49558127
scaffold_403	20929	chrUn	49559128	49580056
scaffold_404	20940	chrUn	49581057	49601996
scaffold_405	20836	chrUn	49602997	49623832
scaffold_406	22335	chrUn	49624833	49647167
scaffold_407	21212	chrUn	49648168	49669379
scaffold_408	20855	chrUn	49670380	49691234
scaffold_409	21426	chrUn	49692235	49713660
scaffold_410	21003	chrUn	49714661	49735663
scaffold_411	21643	chrUn	49736664	49758306
scaffold_412	21467	chrUn	49759307	49780773
scaffold_413	20542	chrUn	49781774	49802315
scaffold_414	21471	chrUn	49803316	49824786
scaffold_415	20388	chrUn	49825787	49846174
scaffold_416	20350	chrUn	49847175	49867524
scaffold_417	20294	chrUn	49868525	49888818
scaffold_418	20264	chrUn	49889819	49910082
scaffold_419	20208	chrUn	49911083	49931290
scaffold_420	22374	chrUn	49932291	49954664
scaffold_421	19993	chrUn	49955665	49975657
scaffold_422	20613	chrUn	49976658	49997270
scaffold_423	19747	chrUn	49998271	50018017
scaffold_424	19838	chrUn	50019018	50038855
scaffold_425	21819	chrUn	50039856	50061674
scaffold_426	19720	chrUn	50062675	50082394
scaffold_427	19650	chrUn	50083395	50103044
scaffold_428	20855	chrUn	50104045	50124899
scaffold_429	19550	chrUn	50125900	50145449
scaffold_430	19733	chrUn	50146450	50166182
scaffold_431	20036	chrUn	50167183	50187218
scaffold_432	19404	chrUn	50188219	50207622
scaffold_433	22029	chrUn	50208623	50230651
scaffold_434	19165	chrUn	50231652	50250816
scaffold_435	19078	chrUn	50251817	50270894
scaffold_436	18816	chrUn	50271895	50290710
scaffold_437	19483	chrUn	50291711	50311193
scaffold_438	18701	chrUn	50312194	50330894
scaffold_439	22604	chrUn	50331895	50354498
scaffold_440	18468	chrUn	50355499	50373966
scaffold_441	18431	chrUn	50374967	50393397
scaffold_442	18369	chrUn	50394398	50412766
scaffold_443	18081	chrUn	50413767	50431847
scaffold_444	18119	chrUn	50432848	50450966
scaffold_445	17979	chrUn	50451967	50469945
scaffold_446	17995	chrUn	50470946	50488940
scaffold_448	18114	chrUn	50489941	50508054
scaffold_449	52136	chrUn	50509055	50561190
scaffold_450	17693	chrUn	50562191	50579883
scaffold_451	18533	chrUn	50580884	50599416
scaffold_452	18747	chrUn	50600417	50619163
scaffold_453	17602	chrUn	50620164	50637765
scaffold_454	17414	chrUn	50638766	50656179
scaffold_455	17412	chrUn	50657180	50674591
scaffold_456	17403	chrUn	50675592	50692994
scaffold_457	18408	chrUn	50693995	50712402
scaffold_458	17509	chrUn	50713403	50730911
scaffold_459	17370	chrUn	50731912	50749281
scaffold_460	17341	chrUn	50750282	50767622
scaffold_461	17664	chrUn	50768623	50786286
scaffold_462	17803	chrUn	50787287	50805089
scaffold_463	17316	chrUn	50806090	50823405
scaffold_464	17505	chrUn	50824406	50841910
scaffold_465	17402	chrUn	50842911	50860312
scaffold_466	18111	chrUn	50861313	50879423
scaffold_467	17985	chrUn	50880424	50898408
scaffold_468	17081	chrUn	50899409	50916489
scaffold_469	17055	chrUn	50917490	50934544
scaffold_470	17046	chrUn	50935545	50952590
scaffold_471	18021	chrUn	50953591	50971611
scaffold_472	17099	chrUn	50972612	50989710
scaffold_473	16949	chrUn	50990711	51007659
scaffold_474	17336	chrUn	51008660	51025995
scaffold_475	16729	chrUn	51026996	51043724
scaffold_476	51862	chrUn	51044725	51096586
scaffold_477	16670	chrUn	51097587	51114256
scaffold_478	16888	chrUn	51115257	51132144
scaffold_479	16579	chrUn	51133145	51149723
scaffold_480	18073	chrUn	51150724	51168796
scaffold_481	17731	chrUn	51169797	51187527
scaffold_482	16459	chrUn	51188528	51204986
scaffold_483	16484	chrUn	51205987	51222470
scaffold_484	16346	chrUn	51223471	51239816
scaffold_485	16745	chrUn	51240817	51257561
scaffold_486	16302	chrUn	51258562	51274863
scaffold_487	16965	chrUn	51275864	51292828
scaffold_488	17505	chrUn	51293829	51311333
scaffold_489	16334	chrUn	51312334	51328667
scaffold_490	16325	chrUn	51329668	51345992
scaffold_491	16797	chrUn	51346993	51363789
scaffold_492	16485	chrUn	51364790	51381274
scaffold_493	16183	chrUn	51382275	51398457
scaffold_494	16559	chrUn	51399458	51416016
scaffold_495	16218	chrUn	51417017	51433234
scaffold_496	16511	chrUn	51434235	51450745
scaffold_497	15915	chrUn	51451746	51467660
scaffold_498	15992	chrUn	51468661	51484652
scaffold_499	15786	chrUn	51485653	51501438
scaffold_500	15747	chrUn	51502439	51518185
scaffold_501	17160	chrUn	51519186	51536345
scaffold_502	15731	chrUn	51537346	51553076
scaffold_503	15651	chrUn	51554077	51569727
scaffold_504	15598	chrUn	51570728	51586325
scaffold_505	17024	chrUn	51587326	51604349
scaffold_506	15572	chrUn	51605350	51620921
scaffold_507	15749	chrUn	51621922	51637670
scaffold_508	15516	chrUn	51638671	51654186
scaffold_509	15905	chrUn	51655187	51671091
scaffold_510	15432	chrUn	51672092	51687523
scaffold_511	17336	chrUn	51688524	51705859
scaffold_512	16020	chrUn	51706860	51722879
scaffold_513	16679	chrUn	51723880	51740558
scaffold_514	15921	chrUn	51741559	51757479
scaffold_515	15731	chrUn	51758480	51774210
scaffold_516	15299	chrUn	51775211	51790509
scaffold_517	15288	chrUn	51791510	51806797
scaffold_518	15270	chrUn	51807798	51823067
scaffold_519	15841	chrUn	51824068	51839908
scaffold_520	15499	chrUn	51840909	51856407
scaffold_521	15162	chrUn	51857408	51872569
scaffold_522	16208	chrUn	51873570	51889777
scaffold_523	15084	chrUn	51890778	51905861
scaffold_524	15071	chrUn	51906862	51921932
scaffold_525	15430	chrUn	51922933	51938362
scaffold_526	15632	chrUn	51939363	51954994
scaffold_527	15296	chrUn	51955995	51971290
scaffold_528	15092	chrUn	51972291	51987382
scaffold_529	14968	chrUn	51988383	52003350
scaffold_530	14964	chrUn	52004351	52019314
scaffold_531	15119	chrUn	52020315	52035433
scaffold_532	15293	chrUn	52036434	52051726
scaffold_533	14911	chrUn	52052727	52067637
scaffold_534	14934	chrUn	52068638	52083571
scaffold_535	15317	chrUn	52084572	52099888
scaffold_536	15275	chrUn	52100889	52116163
scaffold_537	15023	chrUn	52117164	52132186
scaffold_538	14773	chrUn	52133187	52147959
scaffold_539	15820	chrUn	52148960	52164779
scaffold_540	14750	chrUn	52165780	52180529
scaffold_541	18766	chrUn	52181530	52200295
scaffold_542	14746	chrUn	52201296	52216041
scaffold_543	16576	chrUn	52217042	52233617
scaffold_544	14962	chrUn	52234618	52249579
scaffold_545	14636	chrUn	52250580	52265215
scaffold_546	14609	chrUn	52266216	52280824
scaffold_547	14544	chrUn	52281825	52296368
scaffold_548	14371	chrUn	52297369	52311739
scaffold_549	14731	chrUn	52312740	52327470
scaffold_550	14319	chrUn	52328471	52342789
scaffold_551	15634	chrUn	52343790	52359423
scaffold_552	14557	chrUn	52360424	52374980
scaffold_553	14792	chrUn	52375981	52390772
scaffold_554	14309	chrUn	52391773	52406081
scaffold_555	14361	chrUn	52407082	52421442
scaffold_556	14013	chrUn	52422443	52436455
scaffold_557	45232	chrUn	52437456	52482687
scaffold_558	14324	chrUn	52483688	52498011
scaffold_559	14118	chrUn	52499012	52513129
scaffold_560	13947	chrUn	52514130	52528076
scaffold_561	13916	chrUn	52529077	52542992
scaffold_562	17532	chrUn	52543993	52561524
scaffold_563	13888	chrUn	52562525	52576412
scaffold_564	13869	chrUn	52577413	52591281
scaffold_565	14584	chrUn	52592282	52606865
scaffold_566	14023	chrUn	52607866	52621888
scaffold_567	13962	chrUn	52622889	52636850
scaffold_568	14761	chrUn	52637851	52652611
scaffold_569	13703	chrUn	52653612	52667314
scaffold_570	13700	chrUn	52668315	52682014
scaffold_571	13690	chrUn	52683015	52696704
scaffold_572	13679	chrUn	52697705	52711383
scaffold_573	15716	chrUn	52712384	52728099
scaffold_574	14797	chrUn	52729100	52743896
scaffold_575	13586	chrUn	52744897	52758482
scaffold_576	13583	chrUn	52759483	52773065
scaffold_577	14443	chrUn	52774066	52788508
scaffold_578	13876	chrUn	52789509	52803384
scaffold_579	16788	chrUn	52804385	52821172
scaffold_580	13416	chrUn	52822173	52835588
scaffold_581	13404	chrUn	52836589	52849992
scaffold_582	13398	chrUn	52850993	52864390
scaffold_583	13391	chrUn	52865391	52878781
scaffold_584	13680	chrUn	52879782	52893461
scaffold_585	13368	chrUn	52894462	52907829
scaffold_586	13361	chrUn	52908830	52922190
scaffold_587	13456	chrUn	52923191	52936646
scaffold_588	13732	chrUn	52937647	52951378
scaffold_589	13339	chrUn	52952379	52965717
scaffold_590	13326	chrUn	52966718	52980043
scaffold_591	13301	chrUn	52981044	52994344
scaffold_592	13249	chrUn	52995345	53008593
scaffold_593	13332	chrUn	53009594	53022925
scaffold_594	13213	chrUn	53023926	53037138
scaffold_595	13208	chrUn	53038139	53051346
scaffold_596	13196	chrUn	53052347	53065542
scaffold_597	13069	chrUn	53066543	53079611
scaffold_598	13055	chrUn	53080612	53093666
scaffold_599	13152	chrUn	53094667	53107818
scaffold_600	13039	chrUn	53108819	53121857
scaffold_601	13032	chrUn	53122858	53135889
scaffold_602	13934	chrUn	53136890	53150823
scaffold_603	12982	chrUn	53151824	53164805
scaffold_604	13148	chrUn	53165806	53178953
scaffold_605	13383	chrUn	53179954	53193336
scaffold_606	12961	chrUn	53194337	53207297
scaffold_607	14555	chrUn	53208298	53222852
scaffold_608	12939	chrUn	53223853	53236791
scaffold_609	12925	chrUn	53237792	53250716
scaffold_610	12897	chrUn	53251717	53264613
scaffold_611	12890	chrUn	53265614	53278503
scaffold_612	12859	chrUn	53279504	53292362
scaffold_613	13000	chrUn	53293363	53306362
scaffold_614	12797	chrUn	53307363	53320159
scaffold_615	12774	chrUn	53321160	53333933
scaffold_616	13222	chrUn	53334934	53348155
scaffold_617	12724	chrUn	53349156	53361879
scaffold_618	15103	chrUn	53362880	53377982
scaffold_619	15890	chrUn	53378983	53394872
scaffold_620	12682	chrUn	53395873	53408554
scaffold_621	12681	chrUn	53409555	53422235
scaffold_622	12678	chrUn	53423236	53435913
scaffold_623	12768	chrUn	53436914	53449681
scaffold_624	12659	chrUn	53450682	53463340
scaffold_625	12618	chrUn	53464341	53476958
scaffold_626	12918	chrUn	53477959	53490876
scaffold_627	12579	chrUn	53491877	53504455
scaffold_628	14684	chrUn	53505456	53520139
scaffold_629	12539	chrUn	53521140	53533678
scaffold_630	12532	chrUn	53534679	53547210
scaffold_631	12536	chrUn	53548211	53560746
scaffold_632	12429	chrUn	53561747	53574175
scaffold_633	12411	chrUn	53575176	53587586
scaffold_634	12402	chrUn	53588587	53600988
scaffold_635	12389	chrUn	53601989	53614377
scaffold_636	12352	chrUn	53615378	53627729
scaffold_637	12349	chrUn	53628730	53641078
scaffold_638	12327	chrUn	53642079	53654405
scaffold_639	12317	chrUn	53655406	53667722
scaffold_640	13359	chrUn	53668723	53682081
scaffold_641	12313	chrUn	53683082	53695394
scaffold_642	12288	chrUn	53696395	53708682
scaffold_643	12438	chrUn	53709683	53722120
scaffold_644	12356	chrUn	53723121	53735476
scaffold_645	12462	chrUn	53736477	53748938
scaffold_646	12227	chrUn	53749939	53762165
scaffold_647	12225	chrUn	53763166	53775390
scaffold_648	12202	chrUn	53776391	53788592
scaffold_649	12151	chrUn	53789593	53801743
scaffold_650	13586	chrUn	53802744	53816329
scaffold_651	12133	chrUn	53817330	53829462
scaffold_652	12410	chrUn	53830463	53842872
scaffold_653	12116	chrUn	53843873	53855988
scaffold_654	12188	chrUn	53856989	53869176
scaffold_655	12085	chrUn	53870177	53882261
scaffold_656	12070	chrUn	53883262	53895331
scaffold_657	12065	chrUn	53896332	53908396
scaffold_658	12052	chrUn	53909397	53921448
scaffold_659	12142	chrUn	53922449	53934590
scaffold_660	12643	chrUn	53935591	53948233
scaffold_661	12028	chrUn	53949234	53961261
scaffold_662	12019	chrUn	53962262	53974280
scaffold_663	12017	chrUn	53975281	53987297
scaffold_664	13272	chrUn	53988298	54001569
scaffold_665	12257	chrUn	54002570	54014826
scaffold_666	11921	chrUn	54015827	54027747
scaffold_667	13404	chrUn	54028748	54042151
scaffold_668	11763	chrUn	54043152	54054914
scaffold_669	12265	chrUn	54055915	54068179
scaffold_670	11722	chrUn	54069180	54080901
scaffold_671	11683	chrUn	54081902	54093584
scaffold_672	39604	chrUn	54094585	54134188
scaffold_673	11660	chrUn	54135189	54146848
scaffold_674	11639	chrUn	54147849	54159487
scaffold_675	11631	chrUn	54160488	54172118
scaffold_677	11626	chrUn	54173119	54184744
scaffold_678	11623	chrUn	54185745	54197367
scaffold_679	11622	chrUn	54198368	54209989
scaffold_680	11578	chrUn	54210990	54222567
scaffold_681	11549	chrUn	54223568	54235116
scaffold_682	12468	chrUn	54236117	54248584
scaffold_683	11505	chrUn	54249585	54261089
scaffold_684	11932	chrUn	54262090	54274021
scaffold_685	12174	chrUn	54275022	54287195
scaffold_686	11680	chrUn	54288196	54299875
scaffold_687	11569	chrUn	54300876	54312444
scaffold_688	11446	chrUn	54313445	54324890
scaffold_689	11438	chrUn	54325891	54337328
scaffold_690	11360	chrUn	54338329	54349688
scaffold_691	11344	chrUn	54350689	54362032
scaffold_692	11697	chrUn	54363033	54374729
scaffold_693	11505	chrUn	54375730	54387234
scaffold_694	11307	chrUn	54388235	54399541
scaffold_695	11290	chrUn	54400542	54411831
scaffold_696	11404	chrUn	54412832	54424235
scaffold_697	11262	chrUn	54425236	54436497
scaffold_698	13552	chrUn	54437498	54451049
scaffold_699	11247	chrUn	54452050	54463296
scaffold_700	11923	chrUn	54464297	54476219
scaffold_701	11606	chrUn	54477220	54488825
scaffold_702	11260	chrUn	54489826	54501085
scaffold_703	11964	chrUn	54502086	54514049
scaffold_704	11145	chrUn	54515050	54526194
scaffold_705	11065	chrUn	54527195	54538259
scaffold_706	11134	chrUn	54539260	54550393
scaffold_707	11016	chrUn	54551394	54562409
scaffold_708	11004	chrUn	54563410	54574413
scaffold_709	11001	chrUn	54575414	54586414
scaffold_710	10985	chrUn	54587415	54598399
scaffold_711	10982	chrUn	54599400	54610381
scaffold_712	10971	chrUn	54611382	54622352
scaffold_713	10962	chrUn	54623353	54634314
scaffold_714	10962	chrUn	54635315	54646276
scaffold_715	10955	chrUn	54647277	54658231
scaffold_716	10934	chrUn	54659232	54670165
scaffold_717	10925	chrUn	54671166	54682090
